jamb_score,study_hours_per_week,attendance_rate,teacher_quality,distance_to_school,school_type,school_location,extra_tutorials,access_to_learning_materials,parent_involvement,it_knowledge,age,gender,socioeconomic_status,parent_education_level,assignments_completed
134,10,91,1,8.7,Public,Rural,No,Yes,Low,Low,18,Female,High,Tertiary,1
104,21,93,2,19.7,Private,Rural,No,Yes,Low,Low,21,Female,Medium,Tertiary,2
140,8,97,2,5.1,Public,Rural,Yes,Yes,Low,High,20,Female,Low,Unknown,1
172,26,86,3,5.4,Public,Rural,No,Yes,Low,Medium,17,Male,Medium,Unknown,4
133,11,88,1,7.8,Public,Rural,No,Yes,Low,Medium,21,Female,Low,Primary,1
222,14,100,1,12.9,Public,Rural,Yes,No,Low,High,16,Male,Low,Primary,1
136,19,76,2,9.5,Public,Rural,Yes,No,Low,Medium,15,Female,Medium,Secondary,1
185,0,96,4,12.5,Public,Rural,No,No,Low,Low,16,Female,High,Tertiary,1
164,3,86,3,15.4,Public,Rural,Yes,No,Medium,Medium,18,Female,High,Tertiary,1
146,16,91,1,12.0,Public,Urban,No,Yes,Medium,Low,19,Female,Low,Primary,1
100,14,81,1,7.2,Public,Urban,No,No,Low,Low,15,Male,Medium,Primary,3
113,11,93,4,10.4,Public,Rural,Yes,No,Low,Medium,22,Female,Medium,Primary,2
108,0,82,1,3.3,Public,Urban,No,Yes,High,High,18,Female,High,Tertiary,1
189,13,71,2,5.9,Private,Urban,Yes,Yes,Medium,High,17,Female,High,Tertiary,1
262,30,100,4,5.7,Private,Urban,Yes,Yes,High,Medium,16,Male,High,Primary,3
231,30,79,4,17.6,Private,Rural,No,No,Medium,High,22,Female,Medium,Primary,4
151,18,95,4,11.7,Private,Urban,No,Yes,Low,High,16,Male,High,Tertiary,1
103,24,79,1,16.2,Public,Urban,No,No,Medium,Low,15,Male,Low,Primary,1
122,19,92,1,11.5,Public,Rural,No,Yes,Medium,Low,22,Male,Low,Primary,1
114,8,91,2,14.2,Public,Urban,Yes,Yes,Low,Low,15,Female,Medium,Primary,1
135,14,86,3,12.3,Public,Urban,No,Yes,Medium,Low,17,Female,Medium,Primary,2
170,7,89,3,4.6,Private,Rural,No,Yes,High,Low,17,Male,Low,Unknown,1
185,20,89,4,7.4,Public,Urban,Yes,No,Medium,Medium,22,Female,High,Tertiary,2
141,27,63,1,5.2,Public,Rural,No,Yes,Low,Medium,22,Female,High,Tertiary,2
156,24,84,3,18.4,Public,Rural,No,Yes,Low,Medium,22,Female,Medium,Primary,1
227,37,77,2,9.1,Public,Rural,No,Yes,Low,High,15,Male,Low,Unknown,4
143,14,84,3,5.4,Public,Urban,Yes,Yes,Low,Medium,22,Female,Medium,Secondary,1
161,31,73,2,2.4,Public,Urban,No,Yes,Low,Low,21,Male,Low,Primary,4
191,19,74,2,17.7,Private,Urban,Yes,Yes,Low,Medium,18,Female,Medium,Tertiary,2
161,32,99,2,11.9,Public,Urban,No,No,High,High,18,Female,Medium,Tertiary,2
226,24,98,1,4.1,Public,Rural,Yes,Yes,Medium,Low,15,Female,Medium,Tertiary,4
176,26,84,3,10.9,Public,Rural,No,Yes,Medium,Low,16,Female,Medium,Secondary,4
169,33,86,2,14.7,Public,Urban,No,Yes,Low,Medium,21,Male,Medium,Secondary,1
108,12,78,3,18.6,Public,Urban,No,Yes,Low,Low,20,Male,Low,Secondary,1
196,23,91,3,14.6,Public,Urban,Yes,No,High,High,19,Female,Low,Unknown,1
243,37,82,5,17.9,Public,Rural,No,Yes,Medium,Medium,22,Female,Medium,Secondary,2
231,23,97,3,9.1,Public,Urban,Yes,Yes,Low,High,22,Female,Medium,Secondary,3
151,6,80,3,5.7,Public,Rural,No,Yes,High,Medium,17,Female,Medium,Secondary,1
157,38,79,4,16.6,Public,Rural,Yes,Yes,Low,Low,18,Male,Low,Unknown,3
138,12,82,2,9.1,Private,Urban,Yes,No,Low,Low,19,Female,Low,Primary,1
155,19,77,1,5.9,Public,Urban,Yes,Yes,High,Low,16,Female,High,Secondary,1
298,40,95,3,8.7,Public,Rural,Yes,Yes,Low,High,17,Male,Medium,Secondary,4
191,15,80,1,18.0,Private,Urban,No,Yes,Medium,Medium,18,Male,High,Tertiary,3
236,16,93,5,7.3,Public,Urban,Yes,Yes,High,High,18,Male,High,Secondary,1
100,16,91,3,11.1,Public,Rural,Yes,No,Low,Low,16,Male,Medium,Unknown,2
201,6,79,5,10.5,Public,Urban,Yes,Yes,High,Medium,16,Male,Medium,Secondary,1
189,18,84,3,12.6,Private,Rural,No,Yes,Medium,Low,18,Female,Low,Unknown,2
131,18,86,3,10.0,Private,Urban,Yes,Yes,High,Low,18,Male,Low,Unknown,3
154,15,79,2,7.6,Public,Urban,Yes,Yes,Low,Low,19,Female,Medium,Tertiary,1
116,1,85,3,0.0,Public,Rural,Yes,No,High,Medium,16,Male,High,Tertiary,1
123,30,86,1,10.0,Public,Urban,Yes,Yes,Medium,Medium,20,Male,Medium,Primary,5
197,22,96,1,2.0,Private,Rural,Yes,Yes,Medium,Medium,16,Female,Medium,Tertiary,2
110,27,75,1,8.8,Public,Rural,Yes,Yes,Medium,High,19,Male,High,Secondary,1
115,12,72,1,11.1,Private,Urban,No,Yes,Low,Medium,16,Male,Low,Unknown,1
158,10,80,4,9.4,Public,Rural,No,No,Low,Medium,15,Male,Medium,Secondary,1
228,26,78,5,15.7,Public,Rural,No,Yes,Low,High,21,Female,Medium,Tertiary,1
158,16,89,1,8.6,Public,Urban,No,Yes,Low,Medium,17,Male,Low,Primary,1
225,13,76,4,19.6,Public,Urban,No,No,Medium,High,15,Male,High,Tertiary,2
118,28,100,3,15.0,Public,Urban,No,No,Medium,Low,21,Female,Low,Unknown,3
170,14,96,1,9.5,Public,Urban,Yes,Yes,Medium,Low,20,Female,Low,Unknown,2
232,8,88,2,3.3,Public,Urban,Yes,Yes,Medium,High,16,Male,Medium,Secondary,1
138,29,90,2,3.1,Public,Urban,Yes,Yes,Medium,High,19,Male,Low,Unknown,1
100,9,64,3,12.0,Public,Rural,Yes,Yes,Low,Low,18,Female,Low,Unknown,1
156,13,100,1,9.4,Public,Urban,Yes,No,Medium,Medium,16,Male,Low,Secondary,2
222,8,82,3,4.4,Public,Rural,No,Yes,Low,Medium,18,Female,Medium,Unknown,1
141,33,81,2,17.1,Public,Urban,Yes,No,Low,High,22,Female,Medium,Unknown,4
215,11,69,3,7.5,Public,Urban,No,Yes,Medium,High,22,Female,High,Secondary,1
159,19,88,2,14.4,Public,Urban,Yes,Yes,Low,Low,17,Female,Medium,Secondary,1
200,30,75,2,10.6,Public,Urban,Yes,Yes,Low,High,21,Female,High,Tertiary,4
211,26,88,3,11.9,Public,Urban,No,No,Medium,Medium,15,Male,High,Secondary,3
131,15,76,4,8.2,Public,Urban,No,Yes,Medium,Low,17,Male,Medium,Tertiary,1
108,0,70,2,7.9,Public,Rural,No,Yes,Medium,Medium,22,Male,Medium,Primary,1
218,16,79,2,5.0,Public,Urban,No,No,High,Low,18,Female,Low,Primary,1
102,15,82,3,9.0,Private,Rural,No,Yes,Medium,High,21,Female,Low,Primary,1
153,11,71,2,9.3,Public,Urban,Yes,Yes,Medium,Low,17,Male,High,Secondary,1
123,17,74,1,1.1,Public,Urban,No,Yes,Low,High,18,Male,Low,Secondary,1
171,26,90,5,17.8,Private,Urban,Yes,Yes,Medium,High,15,Male,Low,Secondary,1
183,29,100,2,1.2,Private,Urban,Yes,No,Low,Low,18,Male,Medium,Secondary,1
188,10,90,2,11.3,Public,Rural,Yes,No,Medium,Medium,15,Female,High,Secondary,2
192,40,77,3,6.9,Public,Urban,No,No,Low,Medium,16,Male,High,Primary,4
245,32,85,5,10.9,Public,Rural,No,Yes,Low,High,18,Male,High,Secondary,4
153,18,83,1,13.8,Public,Urban,No,No,Medium,High,17,Female,Low,Primary,1
160,28,80,3,7.7,Public,Urban,Yes,Yes,Medium,Medium,21,Female,Medium,Unknown,1
232,40,96,5,4.0,Private,Rural,Yes,Yes,Medium,High,22,Female,High,Tertiary,3
263,14,92,3,6.6,Public,Urban,Yes,Yes,Medium,Low,19,Male,High,Tertiary,2
119,13,89,1,13.4,Public,Urban,No,Yes,Medium,Low,17,Female,Medium,Tertiary,1
107,0,77,1,0.0,Private,Urban,No,Yes,Medium,High,20,Male,Medium,Primary,1
116,17,93,2,4.5,Public,Urban,Yes,No,Low,Low,21,Male,Low,Secondary,1
147,21,81,4,5.5,Public,Rural,Yes,Yes,Medium,High,19,Female,High,Tertiary,2
221,23,78,2,11.3,Private,Rural,Yes,No,Low,High,22,Female,High,Secondary,2
245,20,100,4,12.4,Private,Urban,Yes,No,Medium,Medium,17,Female,Low,Primary,3
150,0,65,1,11.7,Public,Rural,Yes,Yes,Medium,Low,22,Female,Low,Unknown,1
126,19,74,1,5.0,Public,Urban,No,Yes,Low,Low,18,Male,High,Tertiary,1
120,28,75,2,15.6,Public,Urban,No,No,Medium,Low,16,Male,Medium,Secondary,1
127,10,100,4,16.0,Public,Urban,No,No,High,Medium,20,Female,Low,Primary,1
196,25,100,3,7.0,Public,Urban,Yes,No,Medium,High,18,Male,High,Tertiary,1
247,11,100,3,7.6,Public,Urban,No,Yes,High,Medium,15,Female,Medium,Secondary,2
234,29,85,3,13.3,Private,Urban,Yes,Yes,Medium,Medium,16,Female,Medium,Secondary,2
116,11,100,3,16.2,Public,Urban,Yes,Yes,High,Low,21,Female,Medium,Secondary,1
129,9,85,2,3.1,Private,Rural,Yes,Yes,Low,Low,20,Female,Medium,Tertiary,1
105,7,89,3,8.9,Public,Rural,Yes,Yes,Low,High,18,Male,Medium,Secondary,1
136,13,84,1,17.4,Public,Urban,No,No,Medium,Low,16,Female,Medium,Tertiary,1
145,21,82,4,16.9,Private,Urban,No,Yes,High,Low,15,Female,High,Secondary,2
198,10,83,2,11.6,Public,Rural,Yes,No,Low,High,20,Female,Low,Primary,1
162,15,82,2,6.4,Private,Rural,Yes,Yes,Low,Medium,19,Female,High,Secondary,1
131,16,87,3,7.4,Private,Urban,Yes,Yes,High,Low,21,Male,Low,Unknown,1
166,9,87,3,4.3,Private,Urban,No,Yes,Low,High,20,Female,High,Secondary,1
224,40,87,3,17.1,Public,Rural,No,Yes,Low,Medium,21,Male,Low,Tertiary,3
153,10,97,3,9.1,Public,Rural,Yes,Yes,Medium,Low,22,Male,Medium,Secondary,1
145,11,54,1,3.0,Public,Urban,Yes,Yes,Medium,High,21,Female,Medium,Primary,1
231,15,93,4,2.6,Public,Rural,No,No,High,Low,16,Male,Medium,Secondary,2
122,32,88,3,8.7,Public,Urban,No,Yes,Medium,Medium,16,Male,Low,Secondary,3
226,29,98,4,0.0,Private,Urban,Yes,Yes,Medium,High,15,Female,Medium,Secondary,4
189,12,85,2,6.7,Public,Rural,Yes,Yes,Low,High,20,Male,Low,Tertiary,2
132,26,84,3,5.1,Private,Urban,Yes,Yes,Medium,Low,18,Female,Medium,Tertiary,1
247,27,98,3,9.0,Public,Urban,Yes,Yes,Medium,Low,19,Male,High,Tertiary,1
141,19,96,3,14.3,Public,Rural,No,Yes,Low,Medium,16,Female,Low,Unknown,1
198,18,83,4,14.2,Private,Rural,Yes,No,High,High,16,Female,Medium,Secondary,2
223,17,90,3,8.5,Public,Urban,No,No,Low,Medium,16,Female,Low,Primary,1
106,17,96,1,11.8,Public,Rural,No,No,Medium,Medium,16,Male,Low,Secondary,1
144,12,62,4,19.4,Public,Urban,No,Yes,High,Low,22,Female,Low,Unknown,1
207,39,80,3,14.9,Private,Urban,No,Yes,Low,Medium,20,Female,Medium,Primary,2
115,3,94,2,12.3,Private,Urban,Yes,Yes,Low,High,15,Female,Low,Primary,1
222,37,98,3,5.7,Private,Rural,Yes,No,Medium,Medium,16,Female,Medium,Unknown,4
283,28,96,2,8.9,Private,Rural,Yes,Yes,Medium,Low,19,Male,High,Secondary,3
222,26,83,4,9.8,Private,Rural,Yes,Yes,High,Medium,15,Male,Medium,Tertiary,1
150,25,74,1,15.3,Public,Urban,No,Yes,Low,Low,20,Female,Medium,Tertiary,2
162,13,78,2,10.0,Public,Rural,Yes,Yes,High,Medium,22,Female,Low,Unknown,1
121,23,96,2,3.8,Public,Rural,Yes,No,High,Low,16,Female,Medium,Secondary,4
185,0,79,4,9.1,Public,Urban,Yes,Yes,High,Low,20,Female,High,Primary,1
241,19,89,3,17.0,Private,Urban,No,Yes,Low,High,19,Female,Medium,Secondary,1
153,9,76,3,16.6,Public,Rural,Yes,No,Low,Medium,17,Male,Medium,Secondary,1
196,10,94,3,6.7,Public,Urban,No,Yes,Low,High,17,Female,Medium,Secondary,1
159,16,78,2,11.3,Public,Urban,No,No,Medium,Medium,22,Male,Low,Primary,2
204,26,85,3,10.0,Public,Urban,Yes,No,Low,Medium,19,Male,Low,Secondary,2
105,20,64,2,13.9,Public,Urban,No,Yes,Medium,Low,22,Male,High,Secondary,2
229,26,72,1,6.8,Public,Rural,Yes,Yes,Medium,Medium,16,Female,Medium,Secondary,1
154,12,83,2,11.7,Public,Rural,Yes,No,Medium,Low,16,Male,Medium,Primary,1
215,26,74,3,10.5,Public,Urban,No,Yes,Medium,High,22,Male,Medium,Secondary,3
129,17,100,2,14.8,Private,Urban,Yes,Yes,Medium,Low,15,Female,Low,Unknown,1
268,36,71,3,4.3,Public,Rural,Yes,Yes,Low,Low,16,Female,Medium,Primary,2
154,25,75,2,11.3,Public,Rural,No,No,Low,Low,15,Female,Medium,Secondary,2
225,24,88,2,6.3,Public,Urban,Yes,Yes,Medium,Medium,16,Female,High,Secondary,3
122,7,78,2,16.7,Public,Urban,No,Yes,Medium,High,20,Male,High,Unknown,1
111,8,70,2,1.8,Public,Rural,Yes,Yes,Low,Low,18,Female,Low,Secondary,1
157,13,74,2,3.6,Public,Urban,Yes,Yes,High,Medium,18,Male,Low,Secondary,2
133,13,72,3,20.0,Public,Urban,No,No,Medium,Low,19,Female,Medium,Tertiary,1
247,28,86,3,13.3,Private,Urban,Yes,No,Low,Medium,21,Male,Low,Tertiary,2
244,32,100,2,6.8,Public,Urban,Yes,Yes,Medium,Low,21,Male,Medium,Primary,1
215,23,88,1,16.3,Public,Urban,No,Yes,Medium,Medium,21,Female,Low,Unknown,1
163,19,95,5,10.8,Public,Rural,No,Yes,Low,Medium,20,Male,Low,Primary,3
121,16,86,1,8.4,Public,Rural,No,Yes,Medium,Low,21,Female,Low,Secondary,1
166,14,94,2,11.0,Public,Urban,No,Yes,High,Medium,18,Male,Low,Unknown,2
215,15,60,3,6.8,Private,Urban,No,Yes,Medium,Medium,21,Male,Low,Primary,1
221,8,84,3,13.0,Public,Urban,No,Yes,High,Medium,17,Male,High,Tertiary,1
263,21,100,4,20.0,Private,Rural,No,No,Medium,Medium,17,Female,Low,Primary,2
246,30,83,3,4.2,Public,Rural,No,Yes,Medium,High,21,Female,High,Tertiary,4
295,23,100,3,3.7,Private,Urban,Yes,No,Medium,Medium,21,Male,High,Tertiary,2
168,17,98,3,0.0,Private,Rural,Yes,No,Low,High,15,Male,Low,Primary,1
189,25,81,2,20.0,Public,Rural,Yes,No,Low,High,22,Female,High,Tertiary,1
184,25,80,3,6.0,Public,Urban,No,Yes,Medium,Medium,17,Female,Medium,Primary,1
132,6,72,3,20.0,Public,Urban,Yes,No,Medium,High,16,Female,Low,Unknown,1
122,24,75,2,1.6,Public,Urban,Yes,Yes,Medium,High,15,Female,Low,Primary,2
204,32,74,3,7.2,Public,Urban,Yes,Yes,Medium,Low,20,Male,Medium,Tertiary,3
151,7,87,3,15.1,Private,Urban,Yes,Yes,Low,High,18,Female,High,Secondary,1
118,7,67,3,6.6,Public,Urban,Yes,Yes,Low,Low,21,Female,Low,Secondary,1
100,24,85,4,13.6,Public,Urban,No,No,Low,Low,18,Male,Low,Secondary,1
103,12,86,1,9.2,Private,Rural,No,Yes,Low,High,17,Female,Medium,Secondary,1
179,0,69,3,8.9,Public,Urban,Yes,Yes,High,Low,17,Female,Low,Primary,1
191,8,100,3,0.9,Public,Urban,No,Yes,Medium,Medium,16,Male,Medium,Primary,2
190,19,90,2,0.5,Private,Urban,Yes,Yes,Low,High,18,Male,Medium,Secondary,1
111,4,87,2,13.7,Public,Urban,No,Yes,Medium,Low,21,Male,Low,Unknown,1
132,12,74,3,5.0,Public,Rural,Yes,Yes,Medium,Low,22,Female,Low,Unknown,1
150,18,89,2,8.4,Private,Urban,Yes,No,Medium,Medium,17,Male,Medium,Tertiary,2
111,28,91,3,17.9,Public,Urban,No,No,High,Medium,18,Male,Medium,Primary,1
132,13,81,3,14.0,Public,Rural,No,Yes,Medium,Medium,18,Male,Medium,Tertiary,1
142,27,100,1,0.0,Public,Rural,No,Yes,High,High,17,Female,Medium,Secondary,1
212,36,87,3,7.7,Public,Rural,Yes,No,High,Low,18,Male,Medium,Secondary,3
245,38,100,3,4.1,Public,Urban,Yes,Yes,Low,Medium,17,Female,High,Tertiary,4
299,33,95,3,9.7,Public,Urban,Yes,Yes,Low,High,21,Female,Low,Secondary,2
180,2,90,2,12.7,Public,Urban,No,Yes,Medium,Medium,21,Male,Medium,Secondary,1
192,25,70,2,9.7,Public,Urban,No,Yes,High,Low,19,Female,Medium,Secondary,3
189,30,89,3,11.2,Public,Urban,No,Yes,High,Low,17,Female,Medium,Secondary,3
106,13,73,3,18.4,Public,Urban,No,Yes,Medium,Low,18,Female,High,Tertiary,1
249,40,81,2,14.3,Public,Rural,Yes,No,Medium,High,19,Male,Medium,Primary,4
128,24,98,3,6.9,Public,Urban,No,No,Medium,High,21,Female,Medium,Secondary,3
274,33,89,2,10.9,Public,Urban,Yes,No,High,Low,18,Female,High,Secondary,2
135,26,72,1,10.3,Public,Rural,No,Yes,Low,Low,18,Female,Low,Primary,1
208,25,83,2,8.4,Public,Rural,No,Yes,Low,Medium,22,Female,Low,Unknown,3
198,0,73,4,8.1,Public,Rural,Yes,Yes,Medium,High,19,Male,High,Secondary,1
135,12,95,3,4.5,Public,Urban,Yes,Yes,Medium,High,20,Female,Low,Tertiary,1
195,32,79,3,15.4,Public,Urban,No,Yes,Medium,Medium,16,Female,Medium,Secondary,4
161,11,88,2,7.2,Public,Urban,Yes,No,Low,Low,19,Male,Medium,Secondary,1
111,12,93,2,6.8,Public,Rural,No,No,Low,Low,21,Male,Low,Unknown,2
112,5,76,2,5.6,Private,Rural,Yes,No,Medium,Low,20,Female,Medium,Secondary,1
198,38,91,2,17.0,Public,Urban,Yes,Yes,High,High,20,Female,Low,Secondary,3
216,38,77,2,8.2,Public,Rural,Yes,No,High,Low,18,Female,Medium,Secondary,4
183,12,100,2,1.1,Public,Urban,No,Yes,Medium,High,18,Female,Medium,Secondary,2
185,22,94,1,10.4,Public,Rural,Yes,No,High,Low,21,Male,High,Tertiary,1
118,9,79,1,8.1,Public,Rural,Yes,No,Low,Medium,16,Male,Medium,Secondary,1
111,20,73,2,6.7,Private,Urban,No,No,High,Medium,22,Female,Medium,Primary,1
118,20,80,2,15.8,Public,Urban,Yes,Yes,Medium,Medium,19,Male,Low,Unknown,1
206,30,83,2,0.3,Private,Rural,Yes,No,High,High,17,Female,Medium,Primary,3
194,24,100,2,7.2,Public,Rural,Yes,Yes,Low,High,22,Female,Medium,Primary,2
182,40,73,4,7.2,Public,Rural,No,Yes,High,Low,18,Male,Low,Unknown,3
115,5,82,1,19.1,Public,Rural,Yes,Yes,Medium,Low,22,Male,High,Tertiary,1
198,6,86,3,5.7,Public,Urban,Yes,Yes,Low,High,19,Female,Low,Unknown,1
151,14,82,2,7.6,Public,Urban,No,Yes,Low,Low,15,Male,High,Tertiary,1
199,7,85,3,1.4,Public,Urban,No,Yes,Low,Medium,18,Female,Medium,Secondary,1
115,1,79,3,12.2,Public,Urban,No,No,Low,High,17,Male,High,Secondary,1
152,9,91,1,15.3,Public,Rural,No,Yes,Low,High,18,Male,Medium,Unknown,1
138,8,88,2,13.9,Public,Urban,No,Yes,Medium,Medium,20,Female,Medium,Primary,1
104,5,84,3,13.3,Public,Urban,No,No,Medium,Low,22,Female,Medium,Tertiary,1
192,26,57,4,15.5,Public,Urban,Yes,Yes,High,High,19,Male,Medium,Secondary,2
117,10,84,2,4.0,Public,Urban,No,No,Low,High,16,Female,Low,Unknown,1
108,12,64,2,3.9,Public,Urban,No,Yes,Low,Medium,15,Male,Medium,Secondary,1
116,23,87,4,11.6,Public,Urban,Yes,Yes,Low,Low,17,Male,High,Primary,1
206,15,100,4,11.6,Public,Urban,No,Yes,Low,Medium,21,Male,High,Tertiary,2
139,14,73,2,19.6,Public,Urban,No,No,High,Medium,18,Female,High,Tertiary,2
249,29,87,2,5.6,Public,Urban,No,Yes,Medium,High,17,Male,Medium,Tertiary,4
165,1,78,3,1.6,Public,Rural,Yes,Yes,Medium,Low,16,Male,Medium,Tertiary,1
236,3,100,2,12.6,Public,Urban,No,No,Low,Medium,15,Male,High,Tertiary,2
207,25,87,4,10.2,Public,Rural,No,Yes,High,High,22,Female,Low,Unknown,4
164,23,100,3,7.9,Public,Urban,Yes,Yes,High,Medium,17,Female,Medium,Tertiary,2
116,33,85,3,1.8,Private,Urban,No,Yes,Medium,Medium,19,Female,Medium,Secondary,4
188,22,87,2,8.8,Public,Urban,Yes,Yes,High,Medium,19,Female,Low,Secondary,3
135,24,82,2,9.4,Public,Urban,No,Yes,Low,Medium,17,Female,Medium,Secondary,3
130,14,89,4,9.5,Private,Urban,Yes,Yes,Low,Low,22,Male,Low,Unknown,1
153,21,67,2,17.5,Private,Rural,Yes,No,High,Low,15,Female,Medium,Unknown,1
173,35,85,2,17.4,Public,Urban,Yes,Yes,Medium,Medium,18,Female,Medium,Secondary,3
138,0,81,2,14.5,Public,Urban,Yes,No,Low,Low,19,Female,Medium,Secondary,1
144,21,89,2,5.1,Public,Urban,Yes,No,Low,Medium,18,Male,Medium,Tertiary,2
277,40,89,2,10.6,Public,Rural,Yes,Yes,Medium,High,18,Female,High,Primary,4
119,18,71,2,13.3,Public,Urban,No,No,Medium,Medium,17,Male,High,Tertiary,1
240,40,88,2,12.1,Public,Urban,Yes,Yes,High,High,19,Male,Medium,Secondary,3
102,8,70,3,11.5,Public,Rural,No,Yes,Low,Low,17,Female,Medium,Secondary,1
161,18,65,2,1.4,Public,Urban,Yes,Yes,Medium,Low,16,Female,Low,Primary,3
124,16,88,1,11.3,Public,Rural,No,No,Medium,Low,18,Male,High,Secondary,1
137,0,87,1,14.4,Public,Urban,Yes,Yes,Medium,Medium,15,Male,Medium,Primary,1
157,8,88,1,10.0,Public,Urban,Yes,No,Medium,Medium,21,Male,Low,Unknown,1
281,19,100,4,0.0,Public,Urban,No,No,Medium,Medium,20,Female,Medium,Primary,2
146,25,76,2,12.9,Public,Urban,Yes,No,Low,Low,18,Male,Low,Primary,2
184,28,71,3,15.9,Private,Rural,No,No,Medium,High,15,Female,Medium,Secondary,4
135,19,81,3,13.0,Public,Urban,No,Yes,Low,Medium,17,Female,Low,Primary,3
119,22,78,2,9.9,Public,Rural,Yes,Yes,Low,Medium,19,Male,Low,Secondary,1
246,24,81,3,5.7,Public,Urban,No,Yes,Medium,High,18,Male,Low,Primary,1
113,25,80,3,5.5,Public,Rural,No,Yes,Low,High,16,Male,Medium,Secondary,1
100,14,74,2,16.1,Public,Rural,No,Yes,Medium,Low,18,Female,Medium,Secondary,5
102,14,62,3,15.6,Public,Urban,Yes,Yes,Low,Medium,15,Female,Low,Secondary,1
156,16,79,3,11.8,Public,Urban,Yes,Yes,Medium,Medium,22,Female,Medium,Secondary,1
